month_interview,years_lived_elsewhere,educ_yrs,age,exper,female,rural,earnings_usd,christian_main,christian_evang,muslim,kikuyu,wealth_group
3,0,10,23,7,1,1,5,0,1,0,0,poorer
5,22,8,22,8,1,1,5,1,0,0,0,richer
4,0,14,22,2,1,0,5,0,1,0,1,richest
3,0,6,28,16,1,1,5,1,0,0,0,poorer
2,15,13,21,2,1,0,5,1,0,0,0,richer
3,24,15,24,3,1,0,5,1,0,0,0,richest
4,23,10,28,12,1,0,5,1,0,0,1,richest
4,,7,23,10,1,1,5,1,0,0,0,middle
6,8,5,38,27,1,0,5,0,1,0,1,richest
4,25,10,32,16,1,0,5,1,0,0,0,poorer
5,0,8,37,23,1,1,5,1,0,0,0,middle
2,29,8,34,20,1,1,5,1,0,0,0,richer
6,0,10,48,32,1,1,5,0,1,0,0,poorer
3,0,0,30,24,1,0,5,1,0,0,0,poorest
3,24,15,24,3,1,0,5,1,0,0,1,richest
2,28,7,41,28,1,1,5,1,0,0,0,poorest
5,0,7,34,21,1,1,5,0,1,0,0,poorer
5,0,12,20,2,1,0,5,1,0,0,0,richest
4,42,7,42,29,1,1,5,1,0,0,1,middle
4,0,7,24,11,1,1,5,1,0,0,1,richer
2,20,13,22,3,1,0,5,1,0,0,0,richest
4,22,10,22,6,1,0,5,0,1,0,1,richer
2,28,10,28,12,1,1,5,0,1,0,0,richer
3,18,15,23,2,1,0,5,1,0,0,0,richest
4,17,6,24,12,1,0,5,0,1,0,0,poorer
3,29,14,29,9,1,1,5,1,0,0,0,richer
4,23,10,23,7,1,0,5,1,0,0,0,richer
6,0,8,44,30,1,1,5,0,1,0,0,middle
3,0,10,28,12,1,1,5,1,0,0,0,middle
3,0,10,22,6,1,1,5,1,0,0,1,richer
5,0,8,32,18,1,1,5,1,0,0,0,poorer
3,22,8,37,23,1,1,5,1,0,0,0,middle
6,0,10,36,20,1,1,5,0,1,0,0,middle
3,0,8,19,5,1,1,5,1,0,0,0,poorer
3,35,8,45,31,1,1,5,1,0,0,0,poorest
3,27,7,28,15,1,1,5,0,1,0,0,middle
2,0,15,38,17,1,0,5,0,0,1,0,richest
6,29,10,39,23,1,0,5,1,0,0,0,richer
6,0,6,39,27,1,1,5,1,0,0,0,poorest
6,0,8,33,19,1,1,5,0,1,0,0,poorer
3,18,13,20,1,1,0,5,1,0,0,0,richer
2,19,8,19,5,1,0,5,0,0,1,0,richer
3,20,15,24,3,1,0,5,0,1,0,0,richer
5,0,8,22,8,1,1,5,0,1,0,1,richer
2,28,4,28,18,1,1,5,0,0,1,0,poorest
4,23,8,30,16,1,1,5,1,0,0,0,poorer
3,0,9,28,13,1,0,5,0,1,0,0,richest
4,20,15,30,9,1,0,5,1,0,0,0,richer
6,0,8,30,16,1,1,5,0,1,0,0,middle
4,19,10,29,13,1,1,5,0,1,0,1,richer
3,15,4,45,35,1,0,5,1,0,0,0,richer
7,0,8,28,14,1,0,5,0,0,0,1,richer
3,24,0,44,38,1,0,5,1,0,0,0,richer
2,0,8,15,1,1,1,5,0,1,0,0,middle
3,24,8,36,22,1,0,5,1,0,0,1,richer
3,0,7,17,4,1,1,5,0,1,0,0,poorest
4,17,8,32,18,1,0,5,1,0,0,0,richer
3,19,14,22,2,1,0,5,0,1,0,1,richer
2,0,3,21,12,1,1,5,1,0,0,0,poorest
6,0,10,22,6,1,1,5,0,1,0,0,poorest
2,31,7,37,24,1,0,5,0,1,0,0,richer
5,20,10,21,5,1,1,5,1,0,0,0,richest
5,0,15,43,22,1,1,5,0,1,0,0,poorer
4,19,8,39,25,1,1,5,1,0,0,1,middle
5,0,9,39,24,1,1,5,1,0,0,1,richer
3,8,10,38,22,1,0,5,1,0,0,0,richest
2,0,5,43,32,1,1,5,1,0,0,0,poorest
2,0,10,32,16,1,1,5,1,0,0,0,poorer
5,0,8,47,33,1,0,5,1,0,0,0,richest
4,0,8,44,30,1,1,5,0,1,0,0,middle
6,17,14,33,13,1,0,5,0,1,0,0,richer
3,0,7,37,24,1,1,5,1,0,0,0,poorest
4,,10,47,31,1,0,5,0,1,0,0,middle
2,22,7,42,29,1,1,5,0,1,0,0,poorer
2,0,8,25,11,1,1,5,0,1,0,0,poorer
5,20,13,21,2,1,0,5,0,0,0,0,richest
6,0,13,31,12,1,1,5,1,0,0,0,richer
6,0,4,34,24,1,1,5,0,0,0,0,poorest
5,0,10,21,5,1,0,5,1,0,0,1,richer
6,0,8,34,20,1,1,5,0,1,0,1,poorer
4,26,10,29,13,1,1,5,0,1,0,0,richer
3,23,8,43,29,1,1,5,1,0,0,0,middle
3,0,6,39,27,1,1,5,0,1,0,0,poorer
4,38,8,43,29,1,1,5,1,0,0,1,richer
3,19,9,20,5,1,0,5,1,0,0,1,richest
7,0,8,26,12,1,0,5,0,1,0,0,richer
3,0,10,20,4,1,1,5,1,0,0,1,middle
2,0,15,26,5,1,0,5,1,0,0,0,richest
4,0,7,18,5,1,0,5,1,0,0,0,richer
5,25,8,34,20,1,0,5,1,0,0,0,richest
3,17,7,23,10,1,1,5,0,1,0,0,poorer
3,0,10,28,12,1,1,5,1,0,0,0,middle
2,24,8,24,10,1,0,5,1,0,0,0,richest
2,23,10,23,7,1,0,5,1,0,0,0,richest
6,0,16,28,6,1,1,5,1,0,0,0,richer
4,0,10,27,11,1,1,5,0,1,0,0,richer
4,19,6,28,16,1,1,5,0,1,0,0,middle
3,0,8,31,17,1,1,5,1,0,0,0,poorer
3,0,7,15,2,1,1,5,1,0,0,0,middle
3,0,8,41,27,1,0,5,1,0,0,1,richest
2,18,7,48,35,1,1,5,1,0,0,0,poorer
3,0,8,41,27,1,1,5,1,0,0,1,richer
3,30,16,31,9,1,0,5,0,1,0,1,richest
3,0,7,45,32,1,1,5,0,1,0,0,middle
4,21,10,35,19,1,1,5,0,1,0,0,middle
3,38,6,39,27,1,0,5,1,0,0,0,richer
3,41,10,42,26,1,0,5,0,1,0,1,richest
6,0,8,42,28,1,1,5,1,0,0,0,poorer
3,18,8,27,13,1,0,5,1,0,0,0,richer
3,0,6,22,10,1,0,5,1,0,0,1,richest
2,0,10,41,25,1,0,5,0,1,0,0,richer
3,20,8,22,8,1,1,5,1,0,0,1,poorer
4,28,10,28,12,1,1,5,0,1,0,1,richer
3,17,5,37,26,1,1,5,0,1,0,0,middle
3,26,16,27,5,1,0,5,1,0,0,1,richest
3,0,10,19,3,1,1,5,1,0,0,0,poorer
6,0,8,44,30,1,1,5,0,1,0,0,poorest
5,35,7,36,23,1,1,5,0,1,0,1,richest
6,0,7,34,21,1,1,5,1,0,0,0,poorer
4,0,14,20,0,1,1,5,0,1,0,0,richer
2,22,5,31,20,1,1,5,0,1,0,1,poorest
5,0,10,36,20,1,0,5,1,0,0,1,richest
4,30,16,31,9,1,0,5,0,1,0,0,richest
7,0,6,20,8,1,1,5,0,1,0,0,poorest
6,0,8,21,7,1,0,5,0,1,0,1,middle
3,0,8,16,2,1,1,5,1,0,0,0,poorer
3,2,15,31,10,1,1,5,1,0,0,0,richer
4,0,5,43,32,1,0,5,0,1,0,0,richer
6,0,15,25,4,1,1,5,1,0,0,0,richer
6,16,10,22,6,1,0,5,1,0,0,0,richer
4,,5,25,14,1,1,5,1,0,0,0,middle
3,0,5,18,7,1,1,5,0,1,0,0,poorer
3,0,7,48,35,1,1,5,0,1,0,0,poorer
3,17,8,32,18,1,1,5,0,1,0,0,poorer
5,20,8,25,11,1,1,5,0,0,0,0,poorer
4,21,13,22,3,1,1,5,1,0,0,0,middle
5,28,15,28,7,1,1,5,1,0,0,0,poorest
2,22,12,22,4,1,0,5,0,0,1,0,richest
5,,13,23,4,1,1,5,1,0,0,0,richer
2,0,15,25,4,1,0,5,0,0,1,0,richest
6,0,8,27,13,1,1,5,1,0,0,1,richer
4,25,9,27,12,1,0,5,1,0,0,0,richer
6,25,14,28,8,1,0,5,0,1,0,0,richest
2,17,8,44,30,1,1,5,1,0,0,1,poorer
4,19,8,41,27,1,0,5,1,0,0,0,richest
6,40,13,41,22,1,0,5,1,0,0,1,richer
5,28,16,35,13,1,0,5,1,0,0,0,richest
4,9,14,31,11,1,0,5,0,1,0,0,richest
3,18,4,25,15,1,0,5,0,0,1,0,middle
6,0,10,17,1,1,1,5,0,1,0,0,middle
3,0,10,24,8,1,1,5,1,0,0,0,middle
2,4,14,22,2,1,0,5,0,1,0,0,richest
6,18,8,35,21,1,1,5,0,1,0,0,middle
4,25,15,32,11,1,0,5,0,1,0,0,richer
5,0,0,46,40,1,1,5,0,0,1,0,poorest
4,0,10,46,30,1,0,5,1,0,0,0,richer
3,0,8,33,19,1,0,5,1,0,0,0,middle
3,22,8,22,8,1,1,5,1,0,0,0,poorer
2,19,9,34,19,1,1,5,1,0,0,1,poorest
3,0,10,26,10,1,1,5,0,1,0,0,richer
5,22,8,25,11,1,1,5,1,0,0,0,richer
6,22,8,34,20,1,1,5,1,0,0,0,middle
4,0,8,17,3,1,1,5,1,0,0,0,middle
7,25,8,33,19,1,0,.02,1,0,0,1,richest
3,19,8,45,31,1,1,.02,1,0,0,0,poorer
4,0,8,23,9,1,1,.029999999,0,1,0,0,poorest
4,30,8,39,25,1,0,.029999999,0,1,0,1,richest
4,18,7,35,22,1,1,.029999999,0,0,0,0,poorest
2,25,14,26,6,1,1,.039999999,0,1,0,0,middle
2,40,7,42,29,1,1,.050000001,1,0,0,0,middle
2,0,8,26,12,1,1,.050000001,0,1,0,0,poorer
4,0,0,44,38,1,0,.050000001,0,0,1,0,poorest
3,38,7,38,25,1,0,.050000001,0,1,0,0,middle
4,19,10,26,10,1,1,.059999999,1,0,0,0,richer
2,19,12,20,2,1,0,.059999999,1,0,0,0,richest
6,17,5,38,27,1,1,.07,1,0,0,0,poorer
2,0,0,32,26,1,0,.079999998,0,0,1,0,poorer
2,21,14,41,21,1,0,.1,1,0,0,0,richest
4,22,8,23,9,1,0,.1,1,0,0,1,middle
3,0,10,44,28,1,1,.12,1,0,0,0,middle
4,0,0,32,26,1,0,.15000001,0,0,1,0,middle
4,0,10,26,10,1,0,.15000001,0,0,1,0,richest
4,0,10,39,23,1,0,.15000001,1,0,0,0,richer
2,0,8,20,6,1,1,.15000001,1,0,0,0,poorest
5,0,13,21,2,1,0,.15000001,0,0,1,0,richer
3,27,15,46,25,1,0,.2,0,1,0,0,richest
4,25,8,35,21,1,1,.2,0,1,0,0,middle
2,22,0,30,24,1,0,.2,0,0,1,0,middle
3,20,14,37,17,1,1,.22,1,0,0,0,middle
4,0,10,27,11,1,0,.22,0,0,1,0,middle
3,29,8,31,17,1,1,.25,0,1,0,0,poorer
5,29,7,39,26,1,1,.25,1,0,0,0,poorer
6,0,14,23,3,1,1,.25,0,0,1,0,richer
7,21,14,31,11,1,0,.25,1,0,0,1,richer
2,19,16,36,14,1,0,.25,0,1,0,0,richest
4,23,15,45,24,1,1,.27000001,1,0,0,0,middle
2,12,10,32,16,1,0,.30000001,0,0,0,0,richest
3,19,15,24,3,1,0,.30000001,0,1,0,0,richest
2,25,10,25,9,1,0,.30000001,1,0,0,0,richer
2,0,10,31,15,1,0,.30000001,0,0,1,0,richest
5,27,16,28,6,1,1,.31,1,0,0,0,richest
7,16,15,45,24,1,1,.34,1,0,0,0,richer
4,20,15,29,8,1,0,.34999999,1,0,0,0,richer
3,20,15,27,6,1,0,.36000001,1,0,0,0,richer
3,2,16,26,4,1,1,.38,1,0,0,0,richest
3,23,14,43,23,1,0,.40000001,1,0,0,0,richest
4,24,16,34,12,1,0,.40000001,1,0,0,0,richest
6,0,0,23,17,1,0,.40000001,0,0,1,0,richer
2,28,10,28,12,1,0,.43000001,1,0,0,0,richest
5,0,16,30,8,1,0,.44999999,0,0,1,0,richer
4,0,6,34,22,1,1,.5,0,1,0,0,poorer
3,0,0,32,26,1,1,.5,1,0,0,0,poorest
3,40,10,45,29,1,1,.5,1,0,0,1,middle
5,0,0,21,15,1,1,.5,1,0,0,0,poorest
4,27,20,48,22,1,0,.56999999,1,0,0,0,richest
4,0,0,48,42,1,1,.60000002,1,0,0,0,poorest
4,25,14,46,26,1,0,.80000001,1,0,0,0,richest
5,0,16,25,3,1,0,.95999998,1,0,0,1,richest
6,18,10,28,12,1,0,.95999998,1,0,0,1,richest
6,29,8,44,30,1,0,.95999998,0,1,0,0,richer
3,24,15,31,10,1,0,.95999998,1,0,0,0,richest
6,21,8,22,8,1,0,.95999998,1,0,0,1,richer
6,25,15,27,6,1,0,.95999998,0,1,0,0,richest
2,0,10,29,13,1,1,1,1,0,0,0,middle
3,0,1,47,40,1,1,1,1,0,0,0,poorest
3,19,6,45,33,1,1,1,1,0,0,0,poorest
5,21,4,34,24,1,1,1,0,1,0,0,poorer
2,0,5,15,4,1,1,1,1,0,0,0,poorest
5,0,8,43,29,1,1,1,1,0,0,0,poorer
4,31,6,37,25,1,1,1,0,1,0,0,poorest
4,17,8,37,23,1,0,1,1,0,0,0,richest
2,21,9,28,13,1,1,1,1,0,0,0,poorest
2,32,14,45,25,1,0,1,0,0,0,1,richest
5,0,3,34,25,1,1,1,1,0,0,0,poorest
6,0,7,15,2,1,1,1,1,0,0,0,poorest
4,0,8,23,9,1,1,1,0,1,0,0,poorest
4,2,7,17,4,1,1,1,1,0,0,0,poorest
3,13,6,42,30,1,1,1,1,0,0,0,middle
4,6,7,16,3,1,1,1,0,1,0,0,poorer
6,0,6,15,3,1,1,1,0,1,0,0,poorest
3,0,0,32,26,1,1,1,1,0,0,0,poorest
4,0,0,40,34,1,0,1,1,0,0,0,poorest
4,0,3,39,30,1,1,1,1,0,0,0,poorest
7,24,7,38,25,1,1,1,0,1,0,0,poorer
3,20,7,30,17,1,1,1,1,0,0,0,poorer
5,0,6,44,32,1,1,1.25,0,1,0,0,poorer
5,0,8,38,24,1,1,1.5,0,1,0,0,poorest
5,33,10,37,21,1,1,1.5,1,0,0,0,poorer
4,0,0,40,34,1,1,1.5,0,1,0,1,middle
2,0,8,21,7,1,0,1.5,1,0,0,0,middle
4,0,7,17,4,1,1,1.5,0,1,0,0,poorer
6,0,7,18,5,1,1,1.5,1,0,0,0,poorer
6,0,6,16,4,1,1,1.5,0,1,0,0,poorer
5,0,7,16,3,1,1,1.5,0,1,0,0,poorer
4,0,8,23,9,1,0,1.5,1,0,0,0,poorer
6,0,8,20,6,1,1,1.5,1,0,0,0,poorer
6,11,6,16,4,1,1,1.5,1,0,0,0,poorer
3,0,9,23,8,1,1,1.5,1,0,0,0,poorest
5,15,8,15,1,1,1,1.5,1,0,0,0,richer
3,0,9,19,4,1,1,1.5,1,0,0,0,poorest
3,33,7,42,29,1,1,1.5,1,0,0,0,middle
6,15,7,19,6,1,1,1.6,0,1,0,0,poorest
5,0,10,29,13,1,1,1.6,0,1,0,0,poorest
5,0,7,16,3,1,1,1.6,0,1,0,1,richer
5,24,8,26,12,1,1,1.8,0,1,0,0,richer
4,0,8,36,22,1,1,2,0,1,0,0,poorest
6,0,0,47,41,1,0,2,0,1,0,0,poorest
4,0,9,28,13,1,0,2,1,0,0,0,richest
3,17,6,27,15,1,1,2,0,1,0,0,poorer
4,16,10,32,16,1,0,2,1,0,0,1,richer
2,0,8,17,3,1,1,2,0,0,0,0,poorer
5,28,4,38,28,1,1,2,1,0,0,0,poorest
5,5,0,35,29,1,1,2,0,1,0,0,poorest
3,19,8,26,12,1,1,2,1,0,0,0,middle
3,13,7,17,4,1,1,2,1,0,0,0,poorer
5,0,14,21,1,1,0,2,1,0,0,0,richest
2,0,0,49,43,1,1,2,1,0,0,0,middle
2,35,15,38,17,1,1,2,1,0,0,0,middle
6,0,7,20,7,1,0,2,0,1,0,0,richer
2,0,6,18,6,1,1,2,1,0,0,0,poorer
2,24,10,32,16,1,1,2,1,0,0,0,poorer
2,31,10,31,15,1,1,2,1,0,0,0,middle
3,0,10,25,9,1,1,2,1,0,0,0,poorer
2,33,8,48,34,1,1,2,0,1,0,0,middle
3,0,8,26,12,1,1,2,0,1,0,0,middle
2,20,5,34,23,1,1,2,0,1,0,0,poorest
7,0,7,41,28,1,1,2,1,0,0,0,poorest
3,0,0,37,31,1,1,2,1,0,0,0,poorest
5,0,8,28,14,1,0,2,0,0,1,0,poorest
5,31,8,32,18,1,1,2,1,0,0,0,poorer
2,20,7,26,13,1,0,2,1,0,0,0,richer
3,0,7,19,6,1,1,2,0,0,0,0,poorest
5,0,7,18,5,1,1,2,0,1,0,0,poorer
6,0,3,23,14,1,1,2,1,0,0,0,poorest
6,17,7,45,32,1,1,2,0,1,0,0,poorest
5,0,0,33,27,1,1,2,1,0,0,0,poorest
3,0,6,32,20,1,1,2,0,1,0,0,poorest
5,0,4,31,21,1,1,2,1,0,0,0,poorer
4,0,5,34,23,1,0,2,1,0,0,0,poorest
3,28,7,35,22,1,1,2,0,1,0,0,middle
3,0,2,30,22,1,0,2,1,0,0,0,richer
7,0,1,37,30,1,1,2,0,1,0,0,poorest
4,0,8,42,28,1,1,2,1,0,0,0,middle
3,21,2,31,23,1,1,2,0,0,0,0,poorest
6,23,4,43,33,1,1,2,1,0,0,0,poorest
2,0,8,45,31,1,1,2,1,0,0,0,poorer
6,20,9,35,20,1,1,2,0,1,0,0,poorest
3,0,8,35,21,1,1,2,1,0,0,0,poorer
2,17,10,27,11,1,0,2,1,0,0,0,richest
4,12,10,17,1,1,0,2,1,0,0,0,middle
3,30,4,45,35,1,1,2,1,0,0,0,poorer
4,28,8,39,25,1,1,2,0,1,0,0,poorest
2,0,8,19,5,1,1,2,1,0,0,0,poorer
6,25,14,37,17,1,1,2,1,0,0,0,poorer
4,0,7,28,15,1,1,2,1,0,0,0,poorer
3,0,0,24,18,1,1,2,1,0,0,0,poorest
4,,8,15,1,1,0,2,0,1,0,0,richest
3,0,7,15,2,1,1,2,0,0,1,0,poorest
2,19,0,29,23,1,1,2,1,0,0,0,poorest
6,0,0,28,22,1,1,2,1,0,0,0,poorest
4,0,3,35,26,1,1,2,1,0,0,0,poorest
5,0,0,37,31,1,1,2,0,1,0,0,poorest
3,0,7,28,15,1,1,2,0,1,0,0,middle
