"","age","spotify_plays_day","marital_status","gender","genre","years_since_last_hit","revenue"
"89",66,10,"boring","Female","pop",48,202020
"90",40,13,"player","Male","pop",31,244078
"91",43,10,"boring","Male","pop",17,461621
"92",31,12,"player","Male","pop",9,288987
"93",51,9,"player","Male","pop",32,116956
"94",21,10,"single","Male","pop",11,584424
"95",33,10,"boring","Female","pop",25,222843
"96",50,10,"player","Male","pop",26,452023
"97",32,9,"single","Female","hiphop",18,346440
"98",32,9,"single","Female","pop",25,325707
"99",23,4,"single","Male","mumblerock",14,215693
"100",51,10,"player","Male","pop",47,146329
"101",59,9,"player","Male","pop",25,311228
"102",35,9,"player","Male","pop",33,161607
"103",29,11,"single","Male","pop",19,272361
"104",45,9,"single","Male","EDM",22,205949
"105",36,13,"single","Female","pop",11,155279
"106",28,9,"single","Female","pop",11,377411
"107",38,9,"boring","Female","pop",20,153001
"108",17,7,"single","Female","pop",16,190423
"109",41,9,"boring","Female","pop",26,740006
"110",23,11,"single","Female","pop",15,336387
"111",34,9,"single","Male","EDM",33,196494
"112",57,14,"player","Male","pop",33,387412
"113",29,9,"single","Female","pop",15,393860
"114",45,10,"player","Male","pop",33,288543
"115",38,12,"player","Male","pop",35,191707
"116",31,13,"player","Female","pop",9,227790
"117",24,10,"single","Male","pop",8,281374
"118",50,10,"player","Male","pop",41,180605
"119",45,14,"boring","Female","pop",39,543557
"120",34,9,"player","Female","hiphop",25,536620
"121",34,9,"player","Male","pop",24,214310
"122",29,13,"player","Male","pop",12,326518
"123",31,13,"single","Male","pop",29,239017
"124",67,10,"player","Male","pop",20,77040
"125",64,9,"player","Male","pop",47,124313
"126",34,13,"boring","Male","pop",27,603930
"127",43,10,"player","Male","pop",16,376569
"128",51,10,"boring","Female","pop",48,88802
"129",53,10,"player","Male","pop",50,265626
"130",38,13,"boring","Male","pop",16,732488
"131",52,9,"boring","Female","hiphop",28,402832
"132",43,13,"single","Female","hiphop",24,535184
"133",47,7,"player","Male","mumblerock",29,125769
"134",33,16,"player","Male","EDM",15,296364
"135",43,9,"boring","Female","pop",21,462550
"136",43,11,"player","Male","pop",41,68506
"137",30,9,"boring","Female","hiphop",28,266389
"138",34,13,"single","Female","pop",31,237738
"139",32,9,"player","Male","pop",26,438045
"140",46,13,"player","Female","pop",39,200879
"141",34,9,"player","Male","mumblerock",12,100622
"142",51,9,"single","Female","hiphop",37,144906
"143",40,12,"boring","Female","pop",37,139314
"144",17,7,"single","Male","pop",8,922619
"145",36,13,"player","Male","pop",34,723190
"146",44,13,"player","Male","pop",21,572296
"147",53,10,"player","Female","pop",18,284616
"148",21,10,"single","Male","pop",10,676873
"149",38,4,"player","Male","pop",17,404494
"150",38,9,"player","Male","pop",18,167414
"151",30,13,"single","Female","pop",29,269575
"152",34,10,"boring","Female","pop",12,290452
"153",22,9,"single","Male","pop",12,460070
"154",28,9,"single","Female","pop",13,165858
"155",24,10,"single","Female","hiphop",22,327438
"156",64,9,"boring","Female","hiphop",61,120224
"157",21,9,"single","Female","hiphop",7,386784
"158",46,14,"player","Male","pop",29,638224
"159",29,11,"player","Male","pop",9,788989
"160",34,3,"player","Male","pop",31,166480
"161",67,14,"boring","Female","pop",53,308488
"162",36,13,"player","Male","pop",30,342428
"163",31,9,"boring","Female","pop",23,165942
"164",45,13,"player","Male","pop",30,379529
"165",20,10,"single","Female","pop",16,181009
"166",22,9,"player","Male","pop",21,394167
"167",78,3,"player","Male","EDM",69,19339
"168",47,4,"boring","Male","hiphop",40,62069
"169",29,9,"player","Male","pop",24,530510
"170",34,4,"single","Male","hiphop",29,112999
"171",64,16,"player","Male","pop",44,214589
"172",34,9,"boring","Male","pop",31,196341
"173",54,13,"player","Male","pop",29,454323
"174",17,7,"single","Male","pop",15,1016273
"175",46,13,"boring","Female","pop",34,129650
"176",31,9,"boring","Female","pop",24,389653
"177",27,9,"player","Female","pop",18,353610
"178",42,9,"player","Male","pop",31,164166
"179",32,4,"boring","Female","pop",17,268091
"180",43,10,"player","Male","pop",15,622288
"181",36,10,"single","Male","pop",18,277088
"182",32,13,"player","Male","mumblerock",23,439649
"183",20,10,"single","Female","pop",8,820291
"184",43,14,"single","Male","pop",16,490760
"185",44,14,"boring","Female","pop",30,214620
"186",38,13,"player","Male","EDM",37,316937
"187",51,12,"player","Male","pop",23,317712
"188",42,3,"player","Male","pop",19,199663
"189",38,9,"player","Male","pop",29,236099
"190",29,9,"player","Male","EDM",23,441107
"191",29,9,"single","Male","pop",20,1179746
"192",37,9,"single","Female","hiphop",15,289971
"193",52,16,"player","Male","pop",39,151047
"194",44,10,"player","Female","pop",36,302539
"195",17,5,"single","Female","pop",12,397561
"196",32,9,"player","Male","pop",25,241108
"197",29,10,"player","Female","pop",13,366882
"198",33,13,"player","Female","pop",29,722208
"199",42,14,"boring","Male","EDM",33,266951
"200",24,13,"single","Male","pop",23,400101
"201",52,13,"player","Male","pop",38,238274
"202",25,9,"boring","Female","pop",21,201774
"203",41,10,"single","Male","pop",34,278224
"204",46,9,"player","Male","pop",15,263167
"205",55,14,"player","Male","pop",26,247519
"206",26,6,"single","Male","pop",13,258565
"207",21,10,"single","Male","pop",13,455230
"208",38,9,"player","Male","pop",30,226098
"209",24,13,"single","Male","pop",15,353498
"210",57,9,"player","Male","pop",40,239774
"211",36,15,"single","Male","pop",26,766157
"212",66,9,"boring","Male","pop",32,363944
"213",39,10,"player","Male","pop",30,483234
"214",35,13,"single","Female","pop",14,156247
"215",37,9,"boring","Female","pop",19,368207
"216",33,13,"player","Male","pop",23,534552
"217",24,9,"single","Female","pop",11,251974
"218",32,6,"boring","Female","hiphop",21,184296
"219",50,9,"boring","Male","pop",16,296618
"220",44,13,"player","Female","pop",36,225970
"221",51,9,"player","Male","pop",35,269822
"222",42,9,"player","Male","pop",13,237294
"223",41,13,"boring","Female","pop",15,759742
"224",23,10,"single","Female","EDM",12,497527
"225",52,15,"boring","Male","pop",19,345332
"226",63,10,"player","Male","pop",30,201402
"227",38,9,"player","Male","EDM",24,674665
"228",37,3,"player","Male","pop",31,249842
"229",55,13,"player","Male","pop",41,252161
"230",27,5,"single","Female","pop",26,270390
"231",35,10,"boring","Male","pop",27,361998
"232",33,12,"single","Male","pop",13,423475
"233",21,13,"single","Male","pop",9,258936
"234",20,10,"single","Female","pop",8,373680
"235",43,11,"player","Male","pop",15,206384
"236",25,9,"single","Male","pop",21,136481
"237",46,16,"player","Male","pop",44,105860
"238",53,11,"boring","Female","pop",44,209963
"239",34,5,"boring","Female","pop",14,201666
"240",33,11,"single","Male","pop",20,512485
"241",26,9,"single","Male","pop",23,589776
"242",66,14,"player","Male","pop",65,68884
"243",37,13,"player","Male","pop",12,426610
"244",36,13,"player","Male","pop",30,307477
"245",34,13,"player","Male","pop",24,598086
"246",27,10,"single","Male","pop",12,482298
"247",32,13,"player","Male","pop",19,501579
"248",58,4,"player","Male","pop",46,61160
"249",43,13,"single","Male","pop",34,478396
"250",33,14,"player","Female","pop",13,384051
"251",37,9,"single","Male","pop",25,335629
"252",40,13,"player","Male","pop",36,262685
"253",53,9,"player","Male","pop",32,370356
"254",57,10,"player","Male","pop",31,347249
"255",51,10,"player","Female","pop",31,199577
"256",38,9,"single","Male","pop",33,320309
"257",50,10,"boring","Female","hiphop",44,132808
"258",52,9,"player","Male","pop",37,148281
"259",42,10,"player","Male","pop",18,195660
"260",35,10,"player","Male","EDM",13,1068898
"261",52,13,"player","Male","pop",45,91463
"262",36,9,"player","Male","pop",20,351743
"263",69,11,"boring","Female","pop",25,123743
"264",34,10,"player","Male","pop",28,295886
"265",32,7,"player","Male","pop",28,75407
"266",46,5,"boring","Female","pop",33,817354
"267",30,2,"boring","Female","pop",14,303982
"268",18,10,"single","Male","mumblerock",13,117777
"269",45,9,"single","Male","pop",42,245056
"270",30,9,"player","Male","pop",17,157083
"271",31,10,"player","Male","pop",29,275597
"272",68,14,"player","Male","pop",61,48148
"273",17,7,"single","Male","pop",14,112658
"274",45,10,"player","Male","pop",31,272541
"275",21,10,"single","Female","pop",18,667067
"276",43,10,"player","Male","pop",32,371760
"277",53,9,"single","Female","mumblerock",24,309361
"278",27,7,"player","Male","pop",9,214838
"279",34,9,"single","Female","pop",19,142299
"280",40,8,"player","Male","hiphop",13,537888
"281",30,13,"single","Female","EDM",12,581841
"282",53,9,"player","Male","pop",17,489331
"283",50,13,"player","Male","pop",31,278159
"284",45,10,"boring","Male","pop",23,218536
"285",32,13,"player","Male","mumblerock",18,237146
"286",33,11,"player","Male","pop",32,194960
"287",39,13,"player","Female","pop",19,278768
"288",27,8,"single","Male","pop",19,222477
"289",41,9,"single","Male","pop",14,175827
"290",40,13,"player","Female","pop",24,1000096
"291",20,8,"single","Female","pop",12,265081
"292",24,9,"single","Female","pop",10,596644
"293",46,14,"player","Male","pop",36,215312
"294",30,9,"single","Female","pop",10,381295
"295",39,10,"player","Male","pop",31,475587
"296",44,2,"player","Male","pop",43,177998
"297",53,13,"boring","Female","pop",45,130281
"298",17,6,"single","Female","pop",16,406987
"299",25,9,"player","Male","hiphop",7,701475
"300",26,9,"player","Male","pop",18,168974
"301",46,15,"player","Male","pop",40,124581
"302",28,11,"player","Male","pop",18,251833
"303",47,16,"player","Male","EDM",24,611868
"304",75,1,"single","Female","EDM",42,354876
"305",50,9,"player","Male","pop",26,297892
"306",32,7,"single","Female","hiphop",23,346499
"307",46,9,"boring","Male","pop",41,318203
"308",25,9,"player","Male","pop",16,715791
"309",66,10,"boring","Female","pop",31,191055
"310",24,10,"single","Male","EDM",11,308323
"311",61,7,"player","Male","pop",50,104304
"312",23,10,"single","Female","pop",14,313030
"313",44,10,"single","Male","hiphop",38,108666
"314",25,10,"single","Male","pop",7,372404
"315",43,13,"player","Female","pop",41,255098
"316",34,9,"single","Female","pop",18,144990
"317",48,14,"single","Female","pop",36,149405
"318",23,13,"single","Male","pop",20,234675
"319",48,9,"boring","Male","pop",18,1255590
"320",36,13,"boring","Female","pop",33,273071
"321",49,9,"player","Male","pop",38,143688
"322",24,13,"single","Male","pop",15,468305
"323",50,14,"player","Female","pop",43,335892
"324",20,9,"single","Male","pop",18,204177
"325",55,9,"boring","Female","pop",17,155467
"326",34,10,"player","Male","pop",17,455183
"327",25,9,"single","Female","pop",10,500929
"328",36,9,"single","Female","pop",31,238606
"329",38,9,"boring","Female","pop",11,237020
"330",31,9,"single","Male","pop",18,222474
"331",41,9,"boring","Male","pop",20,466279
"332",20,10,"single","Male","pop",9,478763
"333",38,9,"player","Male","pop",21,494494
"334",38,13,"player","Male","pop",16,709764
"335",37,13,"player","Male","pop",18,427458
"336",31,9,"single","Male","pop",17,477136
"337",21,12,"single","Female","pop",8,231696
"338",34,10,"single","Female","pop",16,261400
"339",44,9,"single","Male","pop",36,118165
"340",32,10,"boring","Female","pop",28,216224
"341",70,4,"player","Male","pop",59,20924
"342",57,13,"player","Male","EDM",37,762399
"343",35,11,"player","Male","pop",22,228079
"344",26,10,"single","Female","pop",20,332987
"345",30,13,"single","Male","pop",17,404851
"346",50,13,"player","Male","EDM",27,336331
"347",19,12,"single","Female","pop",18,296276
"348",36,9,"player","Female","pop",31,289210
"349",18,6,"single","Male","pop",8,534985
"350",34,13,"player","Male","pop",13,352667
"351",25,9,"single","Female","pop",18,656198
"352",25,7,"player","Male","pop",22,199432
"353",45,9,"boring","Female","hiphop",28,164262
"354",46,10,"player","Male","pop",21,457191
"355",31,5,"single","Male","mumblerock",23,447859
"356",21,10,"single","Female","mumblerock",8,401678
"357",25,15,"single","Female","pop",13,286423
"358",63,10,"player","Male","pop",58,72302
"359",36,11,"player","Female","pop",35,314969
"360",30,11,"player","Female","pop",23,183766
"361",50,10,"player","Male","pop",37,179435
"362",40,14,"player","Male","pop",30,302034
"363",30,9,"single","Male","pop",9,335770
"364",29,7,"single","Male","pop",10,371731
"365",25,9,"boring","Female","pop",20,393366
"366",32,9,"player","Male","pop",15,139892
"367",48,4,"player","Male","pop",39,138039
"368",49,4,"player","Female","pop",35,345983
"369",33,14,"player","Male","pop",29,328666
"370",58,9,"player","Male","pop",57,85386
"371",45,8,"single","Male","pop",16,404345
"372",20,9,"boring","Female","pop",6,327037
"373",30,12,"player","Male","pop",18,282820
"374",17,6,"single","Female","pop",10,621331
"375",27,11,"player","Male","pop",13,803013
"376",22,13,"single","Female","pop",11,672969
"377",52,9,"boring","Female","pop",17,129697
"378",48,9,"player","Male","pop",22,313545
"379",28,9,"single","Female","pop",17,286384
"380",29,13,"player","Male","pop",25,1256595
"381",52,9,"boring","Male","pop",41,139953
"382",43,14,"player","Male","EDM",18,412235
"383",35,9,"player","Male","pop",15,200140
"384",40,13,"boring","Male","pop",19,244499
"385",68,9,"player","Male","pop",23,317794
"386",54,3,"player","Male","pop",46,61074
"387",47,13,"player","Male","pop",19,220900
"388",50,12,"player","Female","pop",31,354832
"389",26,10,"player","Male","pop",23,333732
"390",47,10,"boring","Female","pop",28,106331
"391",33,9,"player","Male","pop",28,258653
"392",32,5,"player","Male","pop",12,351314
"393",66,13,"player","Male","pop",59,70161
"394",29,9,"boring","Male","pop",18,430297
"395",33,9,"single","Male","pop",26,239426
"396",30,9,"boring","Female","pop",11,639321
"397",30,13,"single","Male","pop",18,426579
"398",37,6,"single","Male","pop",18,398181
"399",81,6,"player","Female","pop",37,96176
"400",35,9,"boring","Female","pop",23,227336
"401",39,13,"player","Female","EDM",37,430701
"402",30,12,"single","Male","pop",14,186159
"403",44,3,"player","Male","pop",31,162578
"404",30,10,"player","Male","pop",26,122803
"405",21,9,"player","Male","pop",15,175071
"406",40,13,"player","Male","pop",34,171033
"407",46,12,"player","Male","pop",19,204444
"408",29,9,"player","Male","pop",21,196627
"409",39,13,"player","Male","pop",25,363574
"410",30,14,"player","Female","pop",10,469812
"411",44,4,"player","Male","pop",33,155722
"412",42,13,"player","Male","pop",20,369388
"413",52,6,"boring","Female","hiphop",21,357195
"414",90,9,"player","Male","pop",29,136902
"415",25,9,"single","Female","pop",13,844117
"416",34,15,"player","Male","pop",14,347292
"417",45,10,"boring","Male","pop",33,158507
"418",31,11,"player","Male","pop",28,108759
"419",32,9,"player","Male","pop",17,305213
"420",29,9,"player","Female","pop",25,302954
"421",23,10,"player","Female","pop",10,348262
"422",39,10,"boring","Male","pop",21,567071
"423",36,13,"single","Male","pop",22,377983
"424",74,13,"boring","Male","pop",30,154529
"425",18,8,"single","Female","pop",6,528655
"426",23,10,"single","Female","hiphop",17,641953
"427",31,10,"single","Female","hiphop",19,912259
"428",47,9,"player","Male","pop",39,99935
"429",29,9,"player","Male","mumblerock",25,172839
"430",23,9,"single","Male","pop",16,191873
"431",41,10,"boring","Female","pop",25,180151
"432",32,7,"single","Male","mumblerock",30,254371
"433",26,9,"single","Female","pop",18,149584
"434",52,14,"player","Male","pop",47,158000
"435",61,9,"boring","Female","pop",32,132224
"436",19,9,"single","Male","pop",14,150186
"437",54,10,"player","Male","EDM",43,159688
"438",29,9,"single","Male","pop",13,449975
"439",57,9,"player","Male","pop",29,676200
"440",48,9,"player","Male","pop",38,149516
"441",23,10,"player","Male","pop",10,305097
"442",38,10,"player","Male","pop",33,206117
"443",19,8,"single","Male","pop",6,821775
"444",41,13,"player","Male","pop",38,265939
"445",36,9,"player","Male","pop",29,185545
"446",70,9,"player","Male","pop",41,103227
"447",30,9,"single","Female","pop",25,246043
"448",33,13,"player","Male","pop",22,247042
"449",27,13,"single","Female","hiphop",26,361302
"450",61,1,"player","Male","pop",36,92208
"451",30,15,"boring","Male","pop",22,447461
"452",62,4,"boring","Female","pop",26,148958
"453",24,9,"player","Male","pop",16,335912
"454",66,14,"player","Male","pop",63,61556
"455",31,7,"boring","Male","pop",28,179326
"456",27,14,"player","Male","pop",13,213916
"457",23,13,"single","Female","hiphop",21,722035
"458",39,13,"player","Male","EDM",19,409093
"459",41,12,"player","Male","pop",18,174969
"460",23,13,"single","Female","hiphop",15,290473
"461",55,16,"player","Male","pop",47,152717
"462",29,9,"single","Male","pop",18,413426
"463",58,6,"boring","Male","hiphop",45,177019
"464",37,3,"player","Male","hiphop",27,326624
"465",32,13,"single","Male","pop",14,576830
"466",38,14,"single","Female","pop",26,148700
"467",46,9,"player","Male","pop",25,178344
"468",64,9,"player","Male","pop",50,164670
"469",17,7,"single","Female","pop",15,398915
"470",23,7,"single","Male","pop",21,508858
"471",24,12,"single","Female","pop",18,660457
"472",28,9,"player","Male","pop",24,242373
"473",37,15,"player","Male","pop",34,255745
"474",30,9,"single","Female","pop",11,565665
"475",34,10,"boring","Female","pop",24,438621
"476",20,9,"single","Male","mumblerock",11,485253
"477",60,11,"player","Male","pop",25,188341
"478",43,5,"player","Male","pop",19,440322
"479",47,13,"player","Male","pop",27,203618
"480",34,10,"boring","Female","pop",18,130295
"481",36,9,"player","Male","pop",35,280040
"482",49,10,"single","Female","pop",16,532701
"483",57,15,"boring","Female","pop",56,81018
"484",41,14,"single","Male","pop",39,544825
"485",33,14,"player","Male","pop",11,408317
"486",25,9,"boring","Female","EDM",18,132345
"487",30,9,"player","Male","pop",24,275227
"488",51,11,"boring","Male","pop",32,188303
"489",42,13,"single","Male","pop",38,192829
"490",47,13,"player","Male","pop",25,321407
"491",39,14,"single","Female","pop",35,437973
"492",31,7,"boring","Male","hiphop",10,385554
"493",38,12,"boring","Male","pop",16,287868
"494",31,9,"boring","Male","pop",14,313753
"495",57,9,"player","Male","pop",36,266560
"496",63,10,"boring","Male","pop",48,95564
"497",25,3,"boring","Male","pop",14,259617
"498",26,12,"single","Male","hiphop",16,560524
"499",27,9,"single","Male","pop",25,219482
"500",51,14,"player","Male","pop",46,290037
"501",75,7,"boring","Male","pop",56,122900
"502",18,7,"single","Male","pop",7,207146
"503",23,9,"single","Male","EDM",12,613367
"504",64,7,"player","Male","pop",39,85922
"505",62,9,"player","Male","pop",51,74385
"506",36,13,"player","Male","pop",16,383957
"507",39,13,"boring","Male","pop",12,172579
"508",25,10,"single","Male","pop",9,265326
"509",33,6,"boring","Female","pop",24,305665
"510",34,13,"player","Male","pop",20,467497
"511",23,9,"player","Male","pop",12,395944
"512",31,13,"player","Female","pop",26,308210
"513",18,10,"single","Female","pop",16,259166
"514",32,14,"player","Female","pop",10,699280
"515",35,9,"boring","Female","hiphop",21,801276
"516",29,9,"player","Male","pop",9,391151
"517",59,8,"boring","Female","pop",21,322711
"518",43,9,"player","Male","pop",21,646825
"519",18,9,"single","Male","pop",15,264834
"520",20,10,"single","Female","pop",9,722241
"521",38,13,"boring","Female","pop",30,420098
"522",20,10,"single","Female","pop",17,907321
"523",40,10,"boring","Male","pop",30,151117
"524",44,13,"single","Male","pop",23,166103
"525",31,9,"player","Female","pop",30,809585
"526",24,13,"player","Male","pop",19,445378
"527",28,9,"boring","Female","pop",27,422025
"528",45,10,"boring","Female","pop",31,449939
"529",23,10,"boring","Male","hiphop",16,216802
"530",47,14,"single","Male","pop",18,367849
"531",40,12,"player","Male","pop",39,259115
"532",19,10,"single","Female","pop",8,318668
"533",51,14,"boring","Female","hiphop",45,201600
"534",47,5,"boring","Female","pop",32,248706
"535",29,13,"single","Male","pop",19,297418
"536",41,10,"boring","Female","pop",29,661764
"537",27,9,"single","Female","hiphop",15,682451
"538",50,9,"player","Male","pop",29,653620
"539",23,9,"single","Female","pop",9,393830
"540",31,13,"single","Female","pop",25,574822
"541",68,10,"player","Male","pop",64,129729
"542",27,9,"single","Male","pop",14,583050
"543",28,9,"single","Male","pop",26,152575
"544",20,10,"single","Female","pop",13,289168
"545",25,10,"single","Female","mumblerock",7,380084
"546",36,10,"player","Male","pop",19,336812
"547",26,10,"player","Male","pop",18,243873
"548",77,10,"player","Male","pop",60,72774
"549",25,9,"player","Female","EDM",22,583346
"550",43,14,"player","Male","pop",13,482455
"551",38,11,"player","Male","pop",21,103344
"552",46,10,"boring","Female","pop",16,186989
"553",28,14,"player","Female","pop",14,207912
"554",43,15,"player","Male","pop",31,149890
"555",39,10,"player","Male","pop",32,172748
"556",49,9,"player","Male","pop",19,454322
"557",45,14,"single","Female","pop",19,109631
"558",33,13,"player","Male","pop",13,234073
"559",30,11,"single","Male","pop",22,179989
"560",22,10,"single","Male","hiphop",11,911063
"561",45,13,"player","Male","pop",15,413400
"562",44,14,"player","Male","pop",34,60678
"563",24,9,"player","Male","pop",7,557848
"564",26,11,"single","Male","pop",17,388070
"565",18,10,"single","Male","pop",14,465924
"566",43,13,"boring","Female","pop",22,211193
"567",29,9,"boring","Male","pop",27,305423
"568",43,10,"player","Male","pop",19,424093
"569",34,9,"player","Male","pop",32,512083
"570",47,9,"player","Male","hiphop",40,156505
"571",39,8,"single","Male","pop",19,253056
"572",31,10,"boring","Female","pop",16,507659
"573",33,2,"boring","Male","pop",32,325015
"574",39,9,"player","Male","pop",14,764047
"575",33,4,"boring","Male","pop",16,296002
"576",38,10,"player","Male","hiphop",30,234932
"577",54,9,"player","Male","EDM",26,456744
"578",46,10,"boring","Female","pop",37,129640
"579",30,7,"single","Male","pop",14,154853
"580",41,13,"boring","Male","hiphop",22,247121
"581",29,9,"single","Female","pop",19,591589
"582",30,7,"single","Male","pop",9,389787
"583",28,10,"player","Male","pop",12,236140
"584",57,14,"boring","Female","hiphop",35,272610
"585",28,13,"player","Male","pop",8,430559
"586",29,13,"player","Male","pop",24,205073
"587",26,10,"single","Male","pop",8,377449
"588",40,9,"player","Male","pop",36,373563
"589",67,11,"boring","Female","pop",37,234518
"590",40,10,"player","Male","pop",28,143670
"591",21,10,"single","Female","pop",9,342484
"592",45,14,"single","Female","pop",16,384964
"593",23,5,"single","Female","hiphop",20,248788
"594",50,16,"player","Male","pop",31,235385
"595",24,10,"player","Male","pop",23,205212
"596",33,14,"player","Female","pop",25,890923
"597",42,4,"single","Male","hiphop",39,144951
"598",65,13,"player","Male","pop",27,379390
"599",31,13,"single","Female","pop",17,302189
"600",30,10,"player","Male","pop",22,294379
"601",62,3,"player","Male","EDM",22,447027
"602",24,5,"player","Female","pop",10,454337
"603",53,5,"player","Male","pop",23,111891
"604",55,13,"boring","Female","pop",39,812249
"605",30,10,"single","Female","pop",17,124639
"606",28,10,"boring","Male","pop",11,277685
"607",25,9,"boring","Male","pop",7,596715
"608",31,12,"single","Female","pop",28,246531
"609",40,13,"player","Male","pop",28,240671
"610",24,10,"single","Male","pop",8,171701
"611",90,9,"boring","Female","pop",52,75036
"612",19,9,"single","Male","pop",13,500064
"613",37,9,"player","Male","pop",28,251278
"614",38,14,"single","Female","pop",25,226116
"615",28,9,"boring","Male","pop",21,206251
"616",48,9,"player","Male","pop",19,297241
"617",36,11,"boring","Male","pop",22,411131
"618",26,10,"player","Male","hiphop",23,257403
"619",44,16,"player","Male","pop",13,813552
"620",18,7,"single","Female","pop",6,351496
"621",23,10,"single","Female","pop",8,500928
"622",30,9,"boring","Male","pop",18,221812
"623",32,11,"single","Male","pop",29,322254
"624",57,4,"player","Male","pop",19,317037
"625",36,13,"single","Female","pop",27,473941
"626",33,7,"player","Male","pop",26,431620
"627",57,10,"boring","Female","pop",45,88325
"628",40,13,"player","Male","pop",17,534068
"629",49,10,"player","Male","pop",18,390260
"630",26,10,"single","Male","mumblerock",9,152383
"631",26,13,"single","Female","hiphop",23,279550
"632",48,9,"boring","Male","pop",37,120269
"633",22,9,"single","Male","pop",18,258510
"634",43,10,"player","Male","pop",26,349459
"635",31,10,"single","Female","pop",20,144763
"636",33,5,"single","Male","pop",29,202079
"637",46,9,"boring","Female","hiphop",30,225022
"638",44,13,"player","Male","pop",37,569355
"639",25,9,"player","Male","pop",23,318119
"640",20,9,"single","Female","pop",10,331446
"641",34,9,"player","Male","pop",19,432733
"642",54,14,"player","Male","EDM",36,247698
"643",43,9,"player","Male","pop",28,147235
"644",31,10,"player","Male","pop",16,381812
"645",67,9,"boring","Male","pop",60,59593
"646",28,12,"single","Male","pop",22,185384
"647",36,10,"player","Male","pop",22,310008
"648",47,10,"boring","Female","pop",32,461499
