"","hhincome","educ_wife_lvl","educ_husb_lvl","hours_housewk_husb","hours_housewk_wife","educ_wife_lvl_LessHS","educ_wife_lvl_SomeUN","educ_wife_lvl_UNIV","educ_husb_lvl_LessHS","educ_husb_lvl_SomeUN","educ_husb_lvl_UNIV","both_univ","both_hs"
"252",138,"SomeUN","SomeUN",0.86,7.06,0,1,0,0,1,0,0,0
"253",114,"SomeUN","SomeUN",0,4.24,0,1,0,0,1,0,0,0
"254",187,"SomeUN","SomeUN",8.46,14.11,0,1,0,0,1,0,0,0
"255",171,"UNIV","UNIV",4.28,11.43,0,0,1,0,0,1,1,0
"256",131,"UNIV","SomeUN",1.33,6.37,0,0,1,0,1,0,0,0
"257",116,"SomeUN","LessHS",0.77,5.19,0,1,0,1,0,0,0,0
"258",85,"LessHS","LessHS",0,2.32,1,0,0,1,0,0,0,1
"259",124,"LessHS","UNIV",2.97,6.92,1,0,0,0,0,1,0,0
"260",147,"SomeUN","LessHS",4.25,8.25,0,1,0,1,0,0,0,0
"261",209,"UNIV","SomeUN",11.73,18.07,0,0,1,0,1,0,0,0
"262",110,"LessHS","LessHS",1.3,4.55,1,0,0,1,0,0,0,1
"263",165,"UNIV","SomeUN",4.85,10.82,0,0,1,0,1,0,0,0
"264",91,"LessHS","LessHS",1.09,3.06,1,0,0,1,0,0,0,1
"265",200,"SomeUN","SomeUN",9.45,16.75,0,1,0,0,1,0,0,0
"266",120,"LessHS","LessHS",1.27,5.19,1,0,0,1,0,0,0,1
"267",81,"SomeUN","LessHS",0,1.54,0,1,0,1,0,0,0,0
"268",209,"UNIV","UNIV",13.49,18.58,0,0,1,0,0,1,1,0
"269",130,"LessHS","LessHS",5.55,7.47,1,0,0,1,0,0,0,1
"270",74,"LessHS","LessHS",0,1.28,1,0,0,1,0,0,0,1
"271",168,"UNIV","LessHS",6.69,11.3,0,0,1,1,0,0,0,0
"272",126,"LessHS","LessHS",7.83,6.93,1,0,0,1,0,0,0,1
"273",150,"LessHS","UNIV",6,9.71,1,0,0,0,0,1,0,0
"274",170,"LessHS","SomeUN",7.78,12.12,1,0,0,0,1,0,0,0
"275",139,"UNIV","UNIV",3.1,7.46,0,0,1,0,0,1,1,0
"276",172,"LessHS","SomeUN",6.52,12.52,1,0,0,0,1,0,0,0
"277",121,"LessHS","LessHS",0,5.11,1,0,0,1,0,0,0,1
"278",163,"LessHS","SomeUN",5.32,10.72,1,0,0,0,1,0,0,0
"279",102,"SomeUN","SomeUN",0,3.35,0,1,0,0,1,0,0,0
"280",162,"LessHS","SomeUN",6.44,10.81,1,0,0,0,1,0,0,0
"281",138,"SomeUN","LessHS",3.06,7.19,0,1,0,1,0,0,0,0
"282",97,"LessHS","SomeUN",0,3.03,1,0,0,0,1,0,0,0
"283",157,"LessHS","LessHS",5.12,9.9,1,0,0,1,0,0,0,1
"284",209,"SomeUN","UNIV",10.85,18.37,0,1,0,0,0,1,0,0
"285",52,"LessHS","LessHS",0,0.85,1,0,0,1,0,0,0,1
"286",113,"SomeUN","SomeUN",0,4.32,0,1,0,0,1,0,0,0
"287",138,"LessHS","SomeUN",1.31,7.62,1,0,0,0,1,0,0,0
"288",106,"LessHS","LessHS",0.39,3.92,1,0,0,1,0,0,0,1
"289",131,"LessHS","LessHS",1.33,6.42,1,0,0,1,0,0,0,1
"290",161,"LessHS","LessHS",4.93,10.67,1,0,0,1,0,0,0,1
"291",126,"SomeUN","LessHS",1.7,5.92,0,1,0,1,0,0,0,0
"292",117,"SomeUN","SomeUN",0,4.55,0,1,0,0,1,0,0,0
"293",133,"LessHS","LessHS",1.55,6.48,1,0,0,1,0,0,0,1
"294",163,"LessHS","LessHS",4.46,10.49,1,0,0,1,0,0,0,1
"295",111,"LessHS","SomeUN",0.27,4.4,1,0,0,0,1,0,0,0
"296",118,"LessHS","UNIV",2.79,6.02,1,0,0,0,0,1,0,0
"297",127,"UNIV","LessHS",3.9,5.85,0,0,1,1,0,0,0,0
"298",174,"UNIV","UNIV",4.67,12.55,0,0,1,0,0,1,1,0
"299",179,"SomeUN","UNIV",6.32,13.18,0,1,0,0,0,1,0,0
"300",208,"UNIV","UNIV",10.6,17.72,0,0,1,0,0,1,1,0
"301",121,"LessHS","SomeUN",1.94,5.55,1,0,0,0,1,0,0,0
"302",129,"LessHS","LessHS",1.82,6.73,1,0,0,1,0,0,0,1
"303",157,"SomeUN","LessHS",4.4,9.52,0,1,0,1,0,0,0,0
"304",126,"LessHS","SomeUN",4.44,7.06,1,0,0,0,1,0,0,0
"305",126,"LessHS","LessHS",0.37,5.77,1,0,0,1,0,0,0,1
"306",163,"LessHS","LessHS",7.65,11.29,1,0,0,1,0,0,0,1
"307",147,"LessHS","SomeUN",4.37,8.88,1,0,0,0,1,0,0,0
"308",112,"SomeUN","LessHS",1.09,4.04,0,1,0,1,0,0,0,0
"309",88,"LessHS","LessHS",0,2.82,1,0,0,1,0,0,0,1
"310",134,"LessHS","LessHS",2.63,6.77,1,0,0,1,0,0,0,1
"311",196,"LessHS","UNIV",11.69,16.57,1,0,0,0,0,1,0,0
"312",99,"LessHS","LessHS",1,3.41,1,0,0,1,0,0,0,1
"313",178,"SomeUN","LessHS",6.68,12.96,0,1,0,1,0,0,0,0
"314",153,"LessHS","LessHS",7.32,10.15,1,0,0,1,0,0,0,1
"315",130,"LessHS","SomeUN",1.99,6.66,1,0,0,0,1,0,0,0
"316",201,"UNIV","UNIV",9.04,16.61,0,0,1,0,0,1,1,0
"317",116,"LessHS","LessHS",0.69,4.85,1,0,0,1,0,0,0,1
"318",92,"LessHS","SomeUN",0,3.55,1,0,0,0,1,0,0,0
"319",76,"LessHS","LessHS",0,1.55,1,0,0,1,0,0,0,1
"320",89,"LessHS","LessHS",0,2.48,1,0,0,1,0,0,0,1
"321",122,"SomeUN","UNIV",0.37,5.69,0,1,0,0,0,1,0,0
"322",186,"LessHS","UNIV",11.51,15.08,1,0,0,0,0,1,0,0
"323",138,"LessHS","LessHS",4.37,8.08,1,0,0,1,0,0,0,1
"324",135,"LessHS","LessHS",3.78,7.42,1,0,0,1,0,0,0,1
"325",126,"LessHS","LessHS",0.27,5.58,1,0,0,1,0,0,0,1
"326",144,"SomeUN","LessHS",3.6,7.74,0,1,0,1,0,0,0,0
"327",75,"LessHS","LessHS",0,1.73,1,0,0,1,0,0,0,1
"328",52,"LessHS","LessHS",0.0999999999999996,1.04,1,0,0,1,0,0,0,1
"329",139,"LessHS","LessHS",3.55,7.06,1,0,0,1,0,0,0,1
"330",90,"LessHS","LessHS",0,2.44,1,0,0,1,0,0,0,1
"331",90,"LessHS","LessHS",0,2.47,1,0,0,1,0,0,0,1
"332",144,"LessHS","LessHS",3.19,7.55,1,0,0,1,0,0,0,1
"333",160,"LessHS","UNIV",7.85,11.35,1,0,0,0,0,1,0,0
"334",158,"LessHS","SomeUN",5.85,10.43,1,0,0,0,1,0,0,0
"335",166,"UNIV","SomeUN",4.51,10.9,0,0,1,0,1,0,0,0
"336",133,"LessHS","LessHS",3.74,7.65,1,0,0,1,0,0,0,1
"337",184,"SomeUN","UNIV",7.5,14.55,0,1,0,0,0,1,0,0
"338",157,"LessHS","LessHS",4.62,9.72,1,0,0,1,0,0,0,1
"339",110,"LessHS","LessHS",2.72,4.86,1,0,0,1,0,0,0,1
"340",121,"LessHS","LessHS",0.3,5.25,1,0,0,1,0,0,0,1
"341",160,"LessHS","SomeUN",6.52,10.7,1,0,0,0,1,0,0,0
